"BroadGloss","NarrowGloss","Domain"
"CHIGGOE (JIGGER FLEA)","CHIGGOE (JIGGER FLEA)","Animal"
"CEBUS MONKEY","CEBUS MONKEY","Animal"
"GUINEA FOWL","GUINEA FOWL","Animal"
"CASSOWARY","CASSOWARY","Animal"
"CRAYFISH","CRAYFISH","Animal"
"POSSUM","POSSUM","Animal"
"PELICAN","PELICAN","Animal"
"WOLF","WOLF","Animal"
"BARBEL","BARBEL","Animal"
"ANT","ANT","Animal"
"GRASSHOPPER","GRASSHOPPER","Animal"
"HORSE","HORSE","Animal"
"ANIMAL","ANIMAL","Animal"
"SEAL","SEAL","Animal"
"BEE","BEE","Animal"
"OWL","OWL","Animal"
"HERON","HERON","Animal"
"TROUT","TROUT","Animal"
"LOCUST","LOCUST","Animal"
"LAMB","LAMB","Animal"
"RACCOON","RACCOON","Animal"
"CORMORANT","CORMORANT","Animal"
"SPIDER","SPIDER","Animal"
"TIGER","TIGER","Animal"
"RATTLESNAKE","RATTLESNAKE","Animal"
"PARROT","PARROT","Animal"
"TERMITE","TERMITE","Animal"
"PARAKEET","PARAKEET","Animal"
"MULE","MULE","Animal"
"TOAD","TOAD","Animal"
"TORTOISE","TORTOISE","Animal"
"ANACONDA (WATER BOA)","ANACONDA (WATER BOA)","Animal"
"COYOTE","COYOTE","Animal"
"BUFFALO","BUFFALO","Animal"
"STALLION","STALLION","Animal"
"BIRD","BIRD","Animal"
"MARE","MARE","Animal"
"SALMON","SALMON","Animal"
"WATER LEECH","WATER LEECH","Animal"
"SEAGULL","SEAGULL","Animal"
"WHALE","WHALE","Animal"
"WILD ANIMAL","WILD ANIMAL","Animal"
"COW","COW","Animal"
"BULL","BULL","Animal"
"FRESHWATER EEL","FRESHWATER EEL","Animal"
"BUG","BUG","Animal"
"SHARK","SHARK","Animal"
"RABBIT","RABBIT","Animal"
"LEOPARD","LEOPARD","Animal"
"CATTLE","CATTLE","Animal"
"OX","OX","Animal"
"VULTURE","VULTURE","Animal"
"GOOSE","GOOSE","Animal"
"HARE","HARE","Animal"
"BEAVER","BEAVER","Animal"
"BABOON","BABOON","Animal"
"WORM","WORM","Animal"
"JAGUAR","JAGUAR","Animal"
"ELEPHANT","ELEPHANT","Animal"
"FOX","FOX","Animal"
"CHICKEN","CHICKEN","Animal"
"SHEEP","SHEEP","Animal"
"RAM","RAM","Animal"
"EWE","EWE","Animal"
"BOAR (MALE PIG)","BOAR (MALE PIG)","Animal"
"SOW (FEMALE PIG)","SOW (FEMALE PIG)","Animal"
"LION","LION","Animal"
"LOUSE","LOUSE","Animal"
"RAT","RAT","Animal"
"MOUSE","MOUSE","Animal"
"FLY (INSECT)","FLY (INSECT)","Animal"
"MOSQUITO","MOSQUITO","Animal"
"ROOSTER","ROOSTER","Animal"
"HEN","HEN","Animal"
"WASP","WASP","Animal"
"TICK","TICK","Animal"
"SCORPION","SCORPION","Animal"
"SNAIL","SNAIL","Animal"
"CHAMELEON","CHAMELEON","Animal"
"PYTHON","PYTHON","Animal"
"COCKROACH","COCKROACH","Animal"
"IGUANA","IGUANA","Animal"
"ALLIGATOR","ALLIGATOR","Animal"
"HUMMINGBIRD","HUMMINGBIRD","Animal"
"SQUIRREL","SQUIRREL","Animal"
"MACAW","MACAW","Animal"
"FOAL","FOAL","Animal"
"OKRA","OKRA","Animal"
"ELK","ELK","Animal"
"BUTTERFLY","BUTTERFLY","Animal"
"BAT","BAT","Animal"
"HEDGEHOG","HEDGEHOG","Animal"
"HYENA","HYENA","Animal"
"CRANE","CRANE","Animal"
"DOVE","DOVE","Animal"
"SPARROW","SPARROW","Animal"
"DONKEY","DONKEY","Animal"
"BUZZARD","BUZZARD","Animal"
"CAMEL","CAMEL","Animal"
"DUIKER","DUIKER","Animal"
"REINDEER","REINDEER","Animal"
"ARMADILLO","ARMADILLO","Animal"
"PUMA","PUMA","Animal"
"QUAIL","QUAIL","Animal"
"EAGLE","EAGLE","Animal"
"MOLE","MOLE","Animal"
"STINGRAY","STINGRAY","Animal"
"BEECH","BEECH","Animal"
"KID","KID","Animal"
"CENTIPEDE","CENTIPEDE","Animal"
"CALF","CALF","Animal"
"MAGPIE","MAGPIE","Animal"
"CORAL SNAKE","CORAL SNAKE","Animal"
"WILD CAT","WILD CAT","Animal"
"BEETLE","BEETLE","Animal"
"CATERPILLAR","CATERPILLAR","Animal"
"CRESTED MYNA","CRESTED MYNA","Animal"
"YELLOW CROAKER","YELLOW CROAKER","Animal"
"CRAB","CRAB","Animal"
"SHRIMP","SHRIMP","Animal"
"EARTHWORM","EARTHWORM","Animal"
"SILKWORM","SILKWORM","Animal"
"DRAGONFLY","DRAGONFLY","Animal"
"CICADA","CICADA","Animal"
"CRICKET","CRICKET","Animal"
"GECKO","GECKO","Animal"
"TURKEY","TURKEY","Animal"
"COATI (COATIMUNDI)","COATI (COATIMUNDI)","Animal"
"PECCARY","PECCARY","Animal"
"LOBSTER","LOBSTER","Animal"
"ROBIN","ROBIN","Animal"
"CAIMAN","CAIMAN","Animal"
"ELECTRIC EEL","ELECTRIC EEL","Animal"
"KINGFISHER","KINGFISHER","Animal"
"SLOTH","SLOTH","Animal"
"WOODPECKER","WOODPECKER","Animal"
"WILD DOG","WILD DOG","Animal"
"DINGO","DINGO","Animal"
"MALE GOAT","MALE GOAT","Animal"
"FEMALE GOAT","FEMALE GOAT","Animal"
"MALE YAK","MALE YAK","Animal"
"FEMALE YAK","FEMALE YAK","Animal"
"MALE DOG","MALE DOG","Animal"
"FEMALE DOG","FEMALE DOG","Animal"
"MALE PIG","MALE PIG","Animal"
"FEMALE PIG","FEMALE PIG","Animal"
"PANGOLIN","PANGOLIN","Animal"
"PORCUPINE","PORCUPINE","Animal"
"GIBBON","GIBBON","Animal"
"CHICKEN CHICK","CHICKEN CHICK","Animal"
"CARABAO","CARABAO","Animal"
"RAVEN","RAVEN","Animal"
"PIGLET","PIGLET","Animal"
"CASTRATED BOAR","CASTRATED BOAR","Animal"
"GELDING","GELDING","Animal"
"CAPON","CAPON","Animal"
"OCTOPUS","OCTOPUS","Animal"
"SEAHORSE","SEAHORSE","Animal"
"RHINOCEROS","RHINOCEROS","Animal"
"LARVA","LARVA","Animal"
"VIPER","VIPER","Animal"
"BIRD OF PARADISE","BIRD OF PARADISE","Animal"
"CARP (FISH)","CARP (FISH)","Animal"
"WILD GOOSE","WILD GOOSE","Animal"
"CRUCIAN CARP","CRUCIAN CARP","Animal"
"SAGO GRUB","SAGO GRUB","Animal"
"CRAYFISH (FRESHWATER)","CRAYFISH (FRESHWATER)","Animal"
"CUTTLEFISH","CUTTLEFISH","Animal"
"EMU","EMU","Animal"
"KANGAROO RAT","KANGAROO RAT","Animal"
"MOTH","MOTH","Animal"
"MUSSELS","MUSSELS","Animal"
"OYSTERS","OYSTERS","Animal"
"PENGUIN","PENGUIN","Animal"
"SWAN","SWAN","Animal"
"WOMBAT","WOMBAT","Animal"
"CUCKOO","CUCKOO","Animal"
"PERCH (FISH)","PERCH (FISH)","Animal"
"PIKE (FISH)","PIKE (FISH)","Animal"
"ECHIDNA","ECHIDNA","Animal"
"WHITE COCKATOO","WHITE COCKATOO","Animal"
"WAGTAIL","WAGTAIL","Animal"
"GRUB","GRUB","Animal"
"BANDICOOT","BANDICOOT","Animal"
"BLACK COCKATOO","BLACK COCKATOO","Animal"
"BLACK DUCK","BLACK DUCK","Animal"
"MONITOR LIZARD","MONITOR LIZARD","Animal"
"NATIVE CAT","NATIVE CAT","Animal"
"BLUE TONGUED SKINK","BLUE TONGUED SKINK","Animal"
"STARFISH","STARFISH","Animal"
"BOVINE","BOVINE","Animal"
"PHEASANT","PHEASANT","Animal"
"GIRAFFE","GIRAFFE","Animal"
"LADYBUG","LADYBUG","Animal"
"BISON","BISON","Animal"
"POLAR BEAR","POLAR BEAR","Animal"
"GORILLA","GORILLA","Animal"
"HIPPOPOTAMUS","HIPPOPOTAMUS","Animal"
"CHEETAH","CHEETAH","Animal"
"HAMSTER","HAMSTER","Animal"
"MEERKAT","MEERKAT","Animal"
"MUNTJACS","MUNTJACS","Animal"
"WILD BOAR","WILD BOAR","Animal"
"CIVET","CIVET","Animal"
"RICE EAR BUG","RICE EAR BUG","Animal"
"YOUNG ANIMAL","YOUNG ANIMAL","Animal"
"FALCON","FALCON","Animal"
"GORAL","GORAL","Animal"
"HORNBILL","HORNBILL","Animal"
"HORNET","HORNET","Animal"
"HORSEFLY","HORSEFLY","Animal"
"SEROW","SEROW","Animal"
"FLYING SQUIRREL","FLYING SQUIRREL","Animal"
"TAKIN","TAKIN","Animal"
"MANTIS","MANTIS","Animal"
"JACKAL","JACKAL","Animal"
"LYNX","LYNX","Animal"
"YEARLING (HORSE)","YEARLING (HORSE)","Animal"
"HUNTING DOG","HUNTING DOG","Animal"
"PEACOCK","PEACOCK","Animal"
"WEASEL","WEASEL","Animal"
"ROUNDWORM","ROUNDWORM","Animal"
"STURGEON","STURGEON","Animal"
"MALLARD","MALLARD","Animal"
"AMERICAN BLACK BEAR","AMERICAN BLACK BEAR","Animal"
"INTESTINAL WORM","INTESTINAL WORM","Animal"
"ANTELOPE","ANTELOPE","Animal"
"ZEBRA","ZEBRA","Animal"
"SHREW","SHREW","Animal"
"MONGOOSE","MONGOOSE","Animal"
"PARTRIDGE","PARTRIDGE","Animal"
"BADGER","BADGER","Animal"
"GUINEA PIG","GUINEA PIG","Animal"
"MARMOT","MARMOT","Animal"
"BUDGERIGAR","BUDGERIGAR","Animal"
"FINCH","FINCH","Animal"
"FLAMINGO","FLAMINGO","Animal"
"NIGHTINGALE","NIGHTINGALE","Animal"
"STORK","STORK","Animal"
"CHIMPANZEE","CHIMPANZEE","Animal"
"GRIZZLY BEAR","GRIZZLY BEAR","Animal"
"MARTEN","MARTEN","Animal"
"CATFISH","CATFISH","Animal"
"PET","PET","Animal"
"ALBATROSS","ALBATROSS","Animal"
"OSTRICH","OSTRICH","Animal"
"HINNY","HINNY","Animal"
"MALE CAT","MALE CAT","Animal"
"ROE DEER","ROE DEER","Animal"
"TARANTULA","TARANTULA","Animal"
"SKUNK","SKUNK","Animal"
"TINAMOU","TINAMOU","Animal"
"PACU","PACU","Animal"
"ENVY","JEALOUSY","Emotion"
"ANGER","ANGER","Emotion"
"NEED (NOUN)","NEED (NOUN)","Emotion"
"FEAR (FRIGHT)","FEAR (FRIGHT)","Emotion"
"ANXIETY","ANXIETY","Emotion"
"FATIGUE","FATIGUE","Emotion"
"PITY","PITY","Emotion"
"GRIEF","GRIEF","Emotion"
"SHAME","SHAME","Emotion"
"JEALOUSY","JEALOUSY","Emotion"
"JOY","JOY","Emotion"
"BLESSED","BLESSED","Emotion"
"FEELING (EMOTION)","FEELING (EMOTION)","Emotion"
"HAPPINESS","HAPPINESS","Emotion"
"LONGING (WISH)","LONGING (WISH)","Emotion"
"COURAGE","COURAGE","Emotion"
"HOPE (FAITH)","HOPE (FAITH)","Emotion"
"MOURNING","MOURNING","Emotion"
"HATE (LOATHING)","HATE (LOATHING)","Emotion"
"LOVE (AFFECTION)","LOVE (AFFECTION)","Emotion"
"CONTEMPT","CONTEMPT","Emotion"
"DISAPPOINTMENT","DISAPPOINTMENT","Emotion"
"EXCITEMENT","EXCITEMENT","Emotion"
"INTEREST (FEELING)","INTEREST (FEELING)","Emotion"
"SURPRISE (FEELING)","SURPRISE (FEELING)","Emotion"
"TRIUMPH","TRIUMPH","Emotion"
"AMUSEMENT","AMUSEMENT","Emotion"
"AWE","AWE","Emotion"
"CONCENTRATION","CONCENTRATION","Emotion"
"CONFUSION","CONFUSION","Emotion"
"SADNESS","SADNESS","Emotion"
"DEPRESSION","DEPRESSION","Emotion"
"PRIDE","PRIDE","Emotion"
"PLEASURE","PLEASURE","Emotion"
"BREAST OR MILK","BREAST","Body"
"SIDE","SIDE (BODY)","Body"
"BARK OR SKIN","SKIN (HUMAN)","Body"
"SKIN","SKIN (HUMAN)","Body"
"TOOTH","MOLAR TOOTH","Body"
"TOOTH","FRONT TOOTH (INCISOR)","Body"
"TOOTH","OTHER TOOTH","Body"
"FOOT OR WALK","FOOT","Body"
"FOOT OR WALK","LEG","Body"
"FOOT OR LEG","FOOT","Body"
"FOOT OR LEG","LEG","Body"
"CLAW OR NAIL","FINGERNAIL","Body"
"CLAW OR NAIL","TOENAIL","Body"
"FINGERNAIL OR TOENAIL","FINGERNAIL","Body"
"FINGERNAIL OR TOENAIL","TOENAIL","Body"
"FINGER OR TOE","LITTLE FINGER","Body"
"FINGER OR TOE","FOREFINGER","Body"
"FINGER OR TOE","MIDDLE FINGER","Body"
"FINGER OR TOE","THUMB","Body"
"FINGER OR TOE","OTHER FINGER","Body"
"FINGER OR TOE","TOE","Body"
"FINGER","LITTLE FINGER","Body"
"FINGER","FOREFINGER","Body"
"FINGER","MIDDLE FINGER","Body"
"FINGER","THUMB","Body"
"FINGER","OTHER FINGER","Body"
"ARM OR HAND","ARM","Body"
"ARM OR HAND","LEFT HAND","Body"
"ARM OR HAND","RIGHT HAND","Body"
"HAND","LEFT HAND","Body"
"HAND","RIGHT HAND","Body"
"BELLY OR STOMACH","BELLY","Body"
"BELLY OR STOMACH","STOMACH","Body"
"BLOOD VESSEL","VEIN","Body"
"BLOOD VESSEL","ARTERY","Body"
"BLOOD VESSEL","OTHER BLOOD VESSEL","Body"
"GUTS OR HEART","INTESTINES","Body"
"GUTS OR HEART","OTHER GUTS","Body"
"GUTS OR HEART","HEART","Body"
"GUTS","INTESTINES","Body"
"GUTS","OTHER GUTS","Body"
"GENITALIA","VULVA","Body"
"GENITALIA","SCROTUM","Body"
"GENITALIA","PENIS","Body"
"GENITALIA","OTHER GENITALIA","Body"
"HAIR OR FOREHEAD","HAIR (HEAD)","Body"
"HAIR OR FOREHEAD","PUBIC HAIR","Body"
"HAIR OR FOREHEAD","OTHER HAIR (BODY)","Body"
"HAIR OR FOREHEAD","FOREHEAD","Body"
"FEATHER OR FUR OR HAIR","HAIR (HEAD)","Body"
"FEATHER OR FUR OR HAIR","PUBIC HAIR","Body"
"FEATHER OR FUR OR HAIR","OTHER HAIR (BODY)","Body"
"HAIR OR FUR","HAIR (HEAD)","Body"
"HAIR OR FUR","PUBIC HAIR","Body"
"HAIR OR FUR","OTHER HAIR (BODY)","Body"
"HAIR","HAIR (HEAD)","Body"
"HAIR","PUBIC HAIR","Body"
"HAIR","OTHER HAIR (BODY)","Body"
"HAIR (BODY)","PUBIC HAIR","Body"
"HAIR (BODY)","OTHER HAIR (BODY)","Body"
"EAR OR HEAR","EAR","Body"
"OTHER HAIR (BODY)","OTHER HAIR (BODY)","Body"
"OTHER GENITALIA","OTHER GENITALIA","Body"
"OTHER GUTS","OTHER GUTS","Body"
"OTHER BLOOD VESSEL","OTHER BLOOD VESSEL","Body"
"OTHER FINGER","OTHER FINGER","Body"
"EYELID","EYELID","Body"
"EARLOBE","EARLOBE","Body"
"PUBIC HAIR","PUBIC HAIR","Body"
"TATTOO","TATTOO","Body"
"FOREHEAD","FOREHEAD","Body"
"GUMS","GUMS","Body"
"SHOULDERBLADE","SHOULDERBLADE","Body"
"SHIN","SHIN","Body"
"LOIN","LOIN","Body"
"UPPER ARM","UPPER ARM","Body"
"FRONT TOOTH (INCISOR)","FRONT TOOTH (INCISOR)","Body"
"TIP (OF TONGUE)","TIP (OF TONGUE)","Body"
"LONG HAIR","LONG HAIR","Body"
"UPPER BACK","UPPER BACK","Body"
"LOWER ARM","LOWER ARM","Body"
"LOWER LEG","LOWER LEG","Body"
"UPPER LEG (THIGH)","UPPER LEG (THIGH)","Body"
"LIP","LIP","Body"
"KIDNEY","KIDNEY","Body"
"SCAR","SCAR","Body"
"CALF OF LEG","CALF OF LEG","Body"
"BACK OF HEAD","BACK OF HEAD","Body"
"FRECKLE","FRECKLE","Body"
"HUMP","HUMP","Body"
"PALATE","PALATE","Body"
"FOREFINGER","FOREFINGER","Body"
"MOUTH","MOUTH","Body"
"BEARD","BEARD","Body"
"LUNG","LUNG","Body"
"TRUNK OF TREE","TRUNK OF TREE","Body"
"BOIL (OF SKIN)","BOIL (OF SKIN)","Body"
"NIPPLE","NIPPLE","Body"
"TESTICLES","TESTICLES","Body"
"JAW","JAW","Body"
"WRIST","WRIST","Body"
"THIGH","THIGH","Body"
"RIB","RIB","Body"
"ADAM'S APPLE","ADAM'S APPLE","Body"
"ANKLE","ANKLE","Body"
"WOMB","WOMB","Body"
"SPINE","SPINE","Body"
"STOMACH","STOMACH","Body"
"BUTTOCKS","BUTTOCKS","Body"
"HEEL","HEEL","Body"
"ELBOW","ELBOW","Body"
"JOINT","JOINT","Body"
"MUSCLE","MUSCLE","Body"
"BRAID","BRAID","Body"
"MOLAR TOOTH","MOLAR TOOTH","Body"
"WOUND","WOUND","Body"
"TENDON","TENDON","Body"
"BRUISE","BRUISE","Body"
"MOUSTACHE","MOUSTACHE","Body"
"EYEBROW","EYEBROW","Body"
"NOSTRIL","NOSTRIL","Body"
"PALM OF HAND","PALM OF HAND","Body"
"ULCER","ULCER","Body"
"TONGUE","TONGUE","Body"
"NOSE","NOSE","Body"
"PENIS","PENIS","Body"
"HEART","HEART","Body"
"LIVER","LIVER","Body"
"EAR","EAR","Body"
"EYE","EYE","Body"
"BELLY","BELLY","Body"
"HEAD","HEAD","Body"
"FINGERNAIL","FINGERNAIL","Body"
"BACK","BACK","Body"
"LEG","LEG","Body"
"FOOT","FOOT","Body"
"NECK","NECK","Body"
"THROAT","THROAT","Body"
"NAPE (OF NECK)","NAPE (OF NECK)","Body"
"KNEE","KNEE","Body"
"OTHER TOOTH","OTHER TOOTH","Body"
"TOE","TOE","Body"
"BONE","BONE","Body"
"BREAST","BREAST","Body"
"SHOULDER","SHOULDER","Body"
"CHIN","CHIN","Body"
"EYELASH","EYELASH","Body"
"FACE","FACE","Body"
"BRAIN","BRAIN","Body"
"BLISTER","BLISTER","Body"
"CHEST","CHEST","Body"
"SKULL","SKULL","Body"
"ARM","ARM","Body"
"WAIST","WAIST","Body"
"CHEEK","CHEEK","Body"
"SPLEEN","SPLEEN","Body"
"HIP","HIP","Body"
"BLADDER","BLADDER","Body"
"BIRTHMARK","BIRTHMARK","Body"
"THUMB","THUMB","Body"
"PIMPLE","PIMPLE","Body"
"VAGINA","VAGINA","Body"
"VULVA","VULVA","Body"
"NAVEL","NAVEL","Body"
"ARMPIT","ARMPIT","Body"
"VEIN","VEIN","Body"
"ARTERY","ARTERY","Body"
"ANUS","ANUS","Body"
"GOITER","GOITER","Body"
"INTESTINES","INTESTINES","Body"
"COLLARBONE","COLLARBONE","Body"
"LEFT HAND","LEFT HAND","Body"
"RIGHT HAND","RIGHT HAND","Body"
"BODY PART","BODY PART","Body"
"UVULA","UVULA","Body"
"WRINKLE","WRINKLE","Body"
"SKIN (HUMAN)","SKIN (HUMAN)","Body"
"HAIR (HEAD)","HAIR (HEAD)","Body"
"TOENAIL","TOENAIL","Body"
"UMBILICAL CORD","UMBILICAL CORD","Body"
"SCAB","SCAB","Body"
"WART","WART","Body"
"SOLE (FOOT)","SOLE (FOOT)","Body"
"TORSO","TORSO","Body"
"SKELETON","SKELETON","Body"
"ORAL CAVITY","ORAL CAVITY","Body"
"FINGERTIP","FINGERTIP","Body"
"LITTLE FINGER","LITTLE FINGER","Body"
"BREASTBONE","BREASTBONE","Body"
"HIP BONE","HIP BONE","Body"
"KNUCKLE","KNUCKLE","Body"
"SCROTUM","SCROTUM","Body"
"PANCREAS","PANCREAS","Body"
"CLITORIS","CLITORIS","Body"
"LAP","LAP","Body"
"SIDE (BODY)","SIDE (BODY)","Body"
"MIDDLE FINGER","MIDDLE FINGER","Body"
"PLACENTA","PLACENTA","Body"
"LOWER BACK","LOWER BACK","Body"
"BURN (INJURY)","BURN (INJURY)","Body"
"PHARYNX","PHARYNX","Body"
"LARYNX","LARYNX","Body"
"BELLYBUTTON","BELLYBUTTON","Body"
"OVARY","OVARY","Body"
"INSTEP","INSTEP","Body"
"EYEBALL","EYEBALL","Body"
"EARHOLE","EARHOLE","Body"
